"date";"year";"week";"ship_units";"clean_su";"ship_ma";"ship_ma30"
2017-02-27;2017;9;125;125;107.857142857143;137.283333333333
2017-02-28;2017;9;99;99;116.714285714286;135.566666666667
2017-03-01;2017;9;80;80;136;135.816666666667
2017-03-02;2017;9;88;88;150.857142857143;134.783333333333
2017-03-03;2017;9;132;132;170.571428571429;133.633333333333
2017-03-06;2017;10;231;231;174.142857142857;133.4
2017-03-07;2017;10;301;301;189.285714285714;135.05
2017-03-08;2017;10;263;263;210.714285714286;133.833333333333
2017-03-09;2017;10;124;124;213.428571428571;132.6
2017-03-10;2017;10;186;186;202.857142857143;133.333333333333
2017-03-13;2017;11;238;238;169.571428571429;135.616666666667
2017-03-14;2017;11;151;151;150.571428571429;138.283333333333
2017-03-15;2017;11;157;157;133.428571428571;141.066666666667
2017-03-16;2017;11;68;68;127;143.966666666667
2017-03-17;2017;11;130;130;109.142857142857;143.35
2017-03-20;2017;12;4;4;106.857142857143;143.266666666667
2017-03-21;2017;12;141;141;100;145.383333333333
2017-03-22;2017;12;113;113;106.571428571429;149.066666666667
2017-03-23;2017;12;135;135;104.857142857143;152.95
2017-03-24;2017;12;109;109;117.285714285714;155.2
2017-03-27;2017;13;114;114;114.142857142857;154.333333333333
2017-03-28;2017;13;118;118;113.857142857143;149.883333333333
2017-03-29;2017;13;91;91;129.285714285714;144.85
2017-03-30;2017;13;119;119;131.428571428571;144.616666666667
2017-03-31;2017;13;111;111;146.285714285714;146.616666666667
2017-04-03;2017;14;243;243;146.857142857143;146.5
2017-04-04;2017;14;124;124;153;147.083333333333
2017-04-05;2017;14;218;218;162.142857142857;147.55
2017-04-06;2017;14;122;122;170.285714285714;150.2
2017-04-07;2017;14;134;134;168.714285714286;154.866666666667
2017-04-10;2017;15;183;183;175.142857142857;160.366666666667
2017-04-11;2017;15;168;168;170.571428571429;164.366666666667
2017-04-12;2017;15;232;232;171;165.466666666667
2017-04-13;2017;15;169;169;171.857142857143;167.45
2017-04-18;2017;16;186;186;163.142857142857;170.55
2017-04-19;2017;16;125;125;175;173.183333333333
2017-04-20;2017;16;140;140;167.428571428571;173.133333333333
2017-04-21;2017;16;122;122;177.285714285714;171.683333333333
2017-04-24;2017;17;251;251;177.285714285714;171.816666666667
2017-04-25;2017;17;179;179;180.857142857143;173.383333333333
2017-04-26;2017;17;238;238;194.285714285714;170.983333333333
2017-04-27;2017;17;186;186;211.714285714286;169.566666666667
2017-04-28;2017;17;150;150;207.285714285714;168.85
2017-05-02;2017;18;234;234;205.285714285714;167.866666666667
2017-05-03;2017;18;244;244;193.428571428571;169.05
2017-05-04;2017;18;220;220;197.142857142857;170.983333333333
2017-05-05;2017;18;165;165;206.857142857143;171.583333333333
2017-05-08;2017;19;155;155;196.714285714286;171.416666666667
2017-05-09;2017;19;212;212;171.285714285714;174.5
2017-05-10;2017;19;218;218;147.857142857143;177.233333333333
2017-05-11;2017;19;163;163;147.428571428571;178.483333333333
2017-05-12;2017;19;66;66;148.428571428571;178.2
2017-05-14;2017;20;56;56;125;177.683333333333
2017-05-15;2017;20;162;162;127.285714285714;175.633333333333
2017-05-16;2017;20;162;162;113.285714285714;173.583333333333
2017-05-17;2017;20;48;48;134.714285714286;173.166666666667
2017-05-18;2017;20;234;234;142.571428571429;172.75
2017-05-19;2017;20;65;65;165.428571428571;172.966666666667
2017-05-22;2017;21;216;216;151.571428571429;170.35
2017-05-23;2017;21;111;111;191.142857142857;166.116666666667
2017-05-24;2017;21;322;322;195;166.483333333333
2017-05-25;2017;21;65;65;222.571428571429;169.3
2017-05-29;2017;22;325;325;210;170.933333333333
2017-05-30;2017;22;261;261;211.285714285714;170.533333333333
2017-05-31;2017;22;258;258;181.142857142857;170.383333333333
2017-06-01;2017;22;128;128;191.714285714286;171.883333333333
2017-06-02;2017;22;120;120;169.285714285714;174.483333333333
2017-06-03;2017;22;111;111;164;177.216666666667
2017-06-05;2017;23;139;139;152.142857142857;178.283333333333
2017-06-06;2017;23;168;168;158.714285714286;179.066666666667
2017-06-07;2017;23;224;224;149.142857142857;181.683333333333
2017-06-08;2017;23;175;175;157.714285714286;181.5
2017-06-09;2017;23;174;174;182.857142857143;181.233333333333
2017-06-10;2017;23;53;53;193;180.45
2017-06-12;2017;24;171;171;186.571428571429;176.766666666667
2017-06-13;2017;24;315;315;185;174.083333333333
2017-06-14;2017;24;239;239;196.857142857143;176.7
2017-06-15;2017;24;179;179;219.857142857143;179.1
2017-06-16;2017;24;164;164;219.857142857143;176.516666666667
2017-06-19;2017;25;257;257;191.285714285714;174.333333333333
2017-06-20;2017;25;214;214;181;174.316666666667
2017-06-21;2017;25;171;171;184.571428571429;177.766666666667
2017-06-22;2017;25;115;115;184.428571428571;179.266666666667
2017-06-23;2017;25;167;167;163.142857142857;179.05
2017-06-26;2017;26;204;204;157.571428571429;179.166666666667
2017-06-27;2017;26;163;163;141.571428571429;177.95
2017-06-28;2017;26;108;108;131.857142857143;177.533333333333
2017-06-29;2017;26;175;175;140.142857142857;177.883333333333
2017-06-30;2017;26;59;59;156.571428571429;179.766666666667
2017-07-02;2017;27;47;47;164;181
2017-07-03;2017;27;225;225;179.428571428571;177.866666666667
2017-07-04;2017;27;319;319;179;175.066666666667
2017-07-05;2017;27;215;215;201;173.5
2017-07-06;2017;27;216;216;228.857142857143;175.216666666667
2017-07-07;2017;27;172;172;208;178.166666666667
2017-07-10;2017;28;213;213;185;180.4
2017-07-11;2017;28;242;242;176.571428571429;183.316666666667
2017-07-12;2017;28;79;79;169;185.166666666667
2017-07-13;2017;28;158;158;174.571428571429;186.85
2017-07-14;2017;28;156;156;166.857142857143;185.5
2017-07-17;2017;29;163;163;158.142857142857;181.533333333333
2017-07-18;2017;29;211;211;163.571428571429;179.5
2017-07-19;2017;29;159;159;166.857142857143;179.55
2017-07-20;2017;29;181;181;173.857142857143;180.566666666667
2017-07-21;2017;29;117;117;167.571428571429;183.716666666667
2017-07-24;2017;30;181;181;184.142857142857;185.033333333333
2017-07-25;2017;30;205;205;200.142857142857;181.35
2017-07-26;2017;30;119;119;222;178.733333333333
2017-07-27;2017;30;327;327;237.571428571429;177.933333333333
2017-07-28;2017;30;271;271;236.142857142857;177.933333333333
2017-07-31;2017;31;334;334;237.142857142857;177.983333333333
2017-08-01;2017;31;226;226;231.285714285714;176.766666666667
2017-08-02;2017;31;171;171;191.857142857143;177.716666666667
2017-08-03;2017;31;212;212;167.142857142857;179.416666666667
2017-08-04;2017;31;78;78;146.285714285714;179.966666666667
2017-08-05;2017;31;51;51;129.285714285714;178.283333333333
2017-08-07;2017;32;98;98;131.714285714286;177.05
2017-08-08;2017;32;188;188;124.714285714286;178.1
2017-08-09;2017;32;107;107;136.428571428571;178.316666666667
2017-08-10;2017;32;188;188;160.142857142857;178.383333333333
2017-08-11;2017;32;163;163;169.857142857143;176.533333333333
2017-08-14;2017;33;160;160;174.714285714286;174.683333333333
2017-08-16;2017;33;217;217;183.142857142857;175.35
2017-08-17;2017;33;166;166;187.142857142857;171.6
2017-08-18;2017;33;222;222;187;165.666666666667
2017-08-21;2017;34;166;166;189.428571428571;160.4
2017-08-22;2017;34;216;216;182.714285714286;154.05
2017-08-23;2017;34;162;162;165.857142857143;150.333333333333
2017-08-24;2017;34;177;177;170.142857142857;149.9
2017-08-25;2017;34;170;170;172.285714285714;151.283333333333
2017-08-27;2017;35;48;48;166;154.233333333333
2017-08-28;2017;35;252;252;161.428571428571;157.316666666667
2017-08-29;2017;35;181;181;144.285714285714;158.983333333333
2017-08-30;2017;35;172;172;151.142857142857;160.566666666667
